Model ID,Hidden Size,Embedding Size,Learning Rate,Gradient Clip,Epochs,Patience,Dev PPL,Final PPL
1,400,300,1,5,100,3,152.20804297843594,144.48312925156785
2,400,300,0.8,5,100,3,155.66485561785157,146.08562524510387
3,400,300,2,5,100,3,152.0881524697892,141.28760208371466
4,400,300,0.1,5,100,3,166.25027399770283,158.59029697128662
5,400,300,0.01,5,100,6,329.6348657704096,321.9685928760772
6,100,50,0.1,5,100,3,269.1960045090998,258.90460477185695
7,100,50,1,5,100,3,166.26933591815643,157.96819398596975
8,100,50,0.01,5,100,3,494.35206955669537,482.25667592187773
9,100,50,2,5,100,3,163.50890144643213,156.49053249248547
10,700,512,1,5,100,3,151.218118269142,141.89372132849115
11,700,30,1,5,100,3,188.01281376782734,180.3039630684445
12,100,512,1,5,100,3,159.35141891596433,151.31334192670457
